Instance; Replication; Seed; SI    ; SF    ; Time_s
18_ros  ;           4;  303; 34.0  ; 26.0  ; 0.6608
17_ton  ;           3;  202; 2630.0; 1674.0; 5.7170
17_ton  ;           4;  303; 437.0 ; 304.0 ; 6.5830
18_ton  ;           2;  101; 1319.0; 317.0 ; 3.0472
19_hes  ;           1;   42; 241.0 ; 110.0 ; 0.5459
18_ton  ;           4;  303; 373.0 ; 354.0 ; 2.6084
19_hes  ;           3;  202; 1024.0; 107.0 ; 0.7691
18_ton  ;           3;  202; 2315.0; 1356.0; 3.4500
19_hes  ;           4;  303; 225.0 ; 120.0 ; 0.4401
16_wee  ;           2;  101; 323.0 ; 129.0 ; 10.4788
18_ton  ;           5;  404; 658.0 ; 225.0 ; 3.5800
19_hes  ;           5;  404; 241.0 ; 113.0 ; 0.4607
19_ton  ;           2;  101; ERROR ; ERROR ; ERROR
19_ton  ;           3;  202; ERROR ; ERROR ; ERROR
19_ros  ;           5;  404; ERROR ; ERROR ; ERROR
19_ros  ;           3;  202; ERROR ; ERROR ; ERROR
19_ton  ;           1;   42; ERROR ; ERROR ; ERROR
17_wee  ;           3;  202; ERROR ; ERROR ; ERROR
