instancia,num,valor_otimo,seed_42,seed_101,seed_202,seed_303,seed_404,melhor_valor,erro
wee-mag,65,18.0,189.0,295.0,209.0,215.0,291.0,189.0,171.0
heskia,66,39.0,112.0,79.0,48.0,184.0,100.0,48.0,9.0
roszieg,66,17.0,33.0,42.0,41.0,27.0,59.0,27.0,10.0
tonge,66,65.0,524.0,338.0,630.0,397.0,491.0,338.0,273.0
wee-mag,66,17.0,163.0,240.0,156.0,234.0,205.0,156.0,139.0
heskia,67,87.0,241.0,104.0,107.0,89.0,136.0,89.0,2.0
roszieg,67,17.0,18.0,23.0,33.0,33.0,20.0,18.0,1.0
tonge,67,48.0,417.0,279.0,351.0,386.0,415.0,279.0,231.0
wee-mag,67,18.0,198.0,177.0,305.0,264.0,242.0,177.0,159.0
heskia,68,62.0,130.0,182.0,127.0,140.0,120.0,120.0,58.0
roszieg,68,16.0,34.0,29.0,22.0,29.0,22.0,22.0,6.0
tonge,68,59.0,536.0,232.0,1393.0,444.0,482.0,232.0,173.0
wee-mag,68,14.0,150.0,145.0,201.0,136.0,222.0,136.0,122.0
heskia,69,61.0,77.0,66.0,113.0,110.0,119.0,66.0,5.0
roszieg,69,15.0,26.0,29.0,38.0,21.0,38.0,21.0,6.0
tonge,69,54.0,598.0,692.0,278.0,491.0,335.0,278.0,224.0
wee-mag,69,18.0,117.0,156.0,200.0,184.0,173.0,117.0,99.0
heskia,6,98.0,103.0,105.0,102.0,137.0,127.0,102.0,4.0
roszieg,6,24.0,25.0,68.0,68.0,26.0,25.0,25.0,1.0
tonge,6,88.0,140.0,737.0,352.0,666.0,204.0,140.0,52.0
wee-mag,6,25.0,113.0,101.0,106.0,134.0,128.0,101.0,76.0
heskia,70,79.0,158.0,106.0,129.0,137.0,168.0,106.0,27.0
roszieg,70,17.0,27.0,36.0,38.0,36.0,27.0,27.0,10.0
tonge,70,60.0,621.0,458.0,409.0,461.0,722.0,409.0,349.0
wee-mag,70,20.0,182.0,173.0,209.0,189.0,245.0,173.0,153.0
heskia,71,91.0,197.0,122.0,115.0,162.0,116.0,115.0,24.0
roszieg,71,15.0,30.0,51.0,34.0,30.0,29.0,29.0,14.0
tonge,71,54.0,397.0,460.0,906.0,555.0,460.0,397.0,343.0
wee-mag,71,13.0,329.0,204.0,175.0,392.0,273.0,175.0,162.0
heskia,72,65.0,111.0,111.0,97.0,146.0,92.0,92.0,27.0
roszieg,72,16.0,17.0,30.0,30.0,17.0,26.0,17.0,1.0
tonge,72,57.0,733.0,955.0,245.0,375.0,375.0,245.0,188.0
wee-mag,72,16.0,152.0,229.0,244.0,252.0,202.0,152.0,136.0
heskia,73,73.0,109.0,95.0,93.0,105.0,108.0,93.0,20.0
roszieg,73,16.0,32.0,46.0,23.0,22.0,28.0,22.0,6.0
tonge,73,71.0,552.0,311.0,431.0,735.0,552.0,311.0,240.0
wee-mag,73,17.0,169.0,167.0,167.0,148.0,168.0,148.0,131.0
heskia,74,57.0,109.0,76.0,123.0,94.0,76.0,76.0,19.0
roszieg,74,16.0,19.0,36.0,24.0,27.0,20.0,19.0,3.0
tonge,74,65.0,539.0,370.0,604.0,564.0,387.0,370.0,305.0
wee-mag,74,19.0,163.0,157.0,223.0,140.0,152.0,140.0,121.0
heskia,75,65.0,226.0,147.0,306.0,112.0,132.0,112.0,47.0
roszieg,75,16.0,30.0,23.0,21.0,58.0,21.0,21.0,5.0
tonge,75,61.0,920.0,607.0,766.0,805.0,370.0,370.0,309.0
wee-mag,75,17.0,189.0,197.0,176.0,216.0,197.0,176.0,159.0
heskia,76,70.0,175.0,192.0,90.0,132.0,153.0,90.0,20.0
roszieg,76,17.0,22.0,39.0,24.0,34.0,22.0,22.0,5.0
tonge,76,58.0,703.0,447.0,292.0,417.0,489.0,292.0,234.0
wee-mag,76,15.0,251.0,144.0,123.0,127.0,209.0,123.0,108.0
heskia,77,71.0,163.0,132.0,273.0,98.0,237.0,98.0,27.0
roszieg,77,13.0,39.0,39.0,20.0,21.0,16.0,16.0,3.0
tonge,77,60.0,504.0,384.0,287.0,392.0,319.0,287.0,227.0
wee-mag,77,17.0,208.0,224.0,391.0,165.0,250.0,165.0,148.0
heskia,78,58.0,85.0,89.0,93.0,106.0,93.0,85.0,27.0
roszieg,78,14.0,23.0,53.0,18.0,23.0,23.0,18.0,4.0
tonge,78,65.0,347.0,296.0,376.0,389.0,328.0,296.0,231.0
wee-mag,78,17.0,177.0,109.0,322.0,152.0,172.0,109.0,92.0
heskia,79,46.0,107.0,64.0,122.0,72.0,99.0,64.0,18.0
roszieg,79,14.0,35.0,40.0,23.0,46.0,18.0,18.0,4.0
tonge,79,61.0,1186.0,892.0,217.0,411.0,1465.0,217.0,156.0
